time,Auckland_shortwave_wm2,Auckland_sunshine_s,Christchurch_shortwave_wm2,Christchurch_sunshine_s,Wellington_shortwave_wm2,Wellington_sunshine_s,Hamilton_shortwave_wm2,Hamilton_sunshine_s,Tauranga_shortwave_wm2,Tauranga_sunshine_s,Dunedin_shortwave_wm2,Dunedin_sunshine_s
2014-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01 06:00:00,39.0,3016.92,44.0,2843.09,46.0,3600.0,47.0,3295.62,58.0,3487.12,33.0,0.0
2014-01-01 07:00:00,206.0,3600.0,117.0,144.71,190.0,3600.0,209.0,3600.0,230.0,3600.0,144.0,2900.66
2014-01-01 08:00:00,425.0,3600.0,181.0,1099.58,356.0,3600.0,450.0,3600.0,451.0,3600.0,196.0,440.56
2014-01-01 09:00:00,597.0,3600.0,235.0,0.0,480.0,3600.0,654.0,3600.0,637.0,3600.0,247.0,717.02
2014-01-01 10:00:00,636.0,3600.0,487.0,3600.0,561.0,3600.0,804.0,3600.0,772.0,3600.0,323.0,1499.05
2014-01-01 11:00:00,648.0,3600.0,689.0,3600.0,670.0,3600.0,817.0,3600.0,842.0,3600.0,371.0,1136.5
2014-01-01 12:00:00,682.0,3600.0,863.0,3600.0,580.0,3600.0,711.0,3600.0,811.0,3600.0,537.0,3600.0
2014-01-01 13:00:00,766.0,3600.0,759.0,3600.0,773.0,3600.0,424.0,1403.99,612.0,3600.0,455.0,1399.83
2014-01-01 14:00:00,567.0,3600.0,886.0,3600.0,795.0,3600.0,538.0,3600.0,568.0,3600.0,489.0,3600.0
2014-01-01 15:00:00,531.0,3600.0,792.0,3600.0,652.0,3600.0,327.0,235.19,425.0,3600.0,461.0,3600.0
2014-01-01 16:00:00,353.0,2453.6,630.0,3600.0,304.0,1592.9,223.0,1221.76,344.0,3600.0,501.0,3600.0
2014-01-01 17:00:00,285.0,3600.0,453.0,3600.0,386.0,3600.0,301.0,3600.0,216.0,2507.75,421.0,3600.0
2014-01-01 18:00:00,186.0,3600.0,320.0,3600.0,328.0,3600.0,157.0,2364.94,139.0,2555.01,362.0,3600.0
2014-01-01 19:00:00,148.0,3600.0,188.0,3600.0,154.0,3600.0,154.0,3600.0,124.0,3600.0,169.0,3600.0
2014-01-01 20:00:00,19.0,780.65,64.0,3600.0,38.0,3132.68,21.0,1777.42,13.0,0.0,75.0,3600.0
2014-01-01 21:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2014-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
