Timestamp,SeriesCode,Series,Lost megawatts
01/01/2024 00:00:00,NZ_G,Geothermal,45.7
01/01/2024 00:00:00,NZ_H,Hydro,686.0
01/01/2024 00:00:00,NZ_T,Thermal,554.2
01/01/2024 00:00:00,NZ_W,Wind,193.9
01/01/2024 00:00:00,UNKN,Unknown,54.0
01/01/2024 07:00:00,NZ_G,Geothermal,45.7
01/01/2024 07:00:00,NZ_H,Hydro,704.5
01/01/2024 07:00:00,NZ_T,Thermal,554.2
01/01/2024 07:00:00,NZ_W,Wind,193.9
01/01/2024 07:00:00,UNKN,Unknown,54.0
01/01/2024 07:30:00,NZ_G,Geothermal,45.7
01/01/2024 07:30:00,NZ_H,Hydro,704.5
01/01/2024 07:30:00,NZ_T,Thermal,554.2
01/01/2024 07:30:00,NZ_W,Wind,193.9
01/01/2024 07:30:00,UNKN,Unknown,55.0
01/01/2024 17:00:00,NZ_G,Geothermal,45.7
01/01/2024 17:00:00,NZ_H,Hydro,701.5
01/01/2024 17:00:00,NZ_T,Thermal,554.2
01/01/2024 17:00:00,NZ_W,Wind,193.9
01/01/2024 17:00:00,UNKN,Unknown,55.0
02/01/2024 07:30:00,NZ_G,Geothermal,45.7
02/01/2024 07:30:00,NZ_H,Hydro,701.5
02/01/2024 07:30:00,NZ_T,Thermal,554.2
02/01/2024 07:30:00,NZ_W,Wind,193.9
02/01/2024 07:30:00,UNKN,Unknown,54.0
02/01/2024 10:00:00,NZ_G,Geothermal,45.7
02/01/2024 10:00:00,NZ_H,Hydro,706.5
02/01/2024 10:00:00,NZ_T,Thermal,554.2
02/01/2024 10:00:00,NZ_W,Wind,193.9
02/01/2024 10:00:00,UNKN,Unknown,54.0
02/01/2024 16:00:00,NZ_G,Geothermal,45.7
02/01/2024 16:00:00,NZ_H,Hydro,701.5
02/01/2024 16:00:00,NZ_T,Thermal,554.2
02/01/2024 16:00:00,NZ_W,Wind,193.9
02/01/2024 16:00:00,UNKN,Unknown,54.0
03/01/2024 00:00:00,NZ_G,Geothermal,45.7
03/01/2024 00:00:00,NZ_H,Hydro,666.3
03/01/2024 00:00:00,NZ_T,Thermal,554.2
03/01/2024 00:00:00,NZ_W,Wind,193.9
03/01/2024 00:00:00,UNKN,Unknown,54.0
03/01/2024 02:00:00,NZ_G,Geothermal,45.7
03/01/2024 02:00:00,NZ_H,Hydro,666.3
03/01/2024 02:00:00,NZ_T,Thermal,555.2
03/01/2024 02:00:00,NZ_W,Wind,193.9
03/01/2024 02:00:00,UNKN,Unknown,54.0
03/01/2024 09:00:00,NZ_G,Geothermal,45.7
03/01/2024 09:00:00,NZ_H,Hydro,671.3
03/01/2024 09:00:00,NZ_T,Thermal,555.2
03/01/2024 09:00:00,NZ_W,Wind,193.9
03/01/2024 09:00:00,UNKN,Unknown,54.0
03/01/2024 10:15:00,NZ_G,Geothermal,45.7
03/01/2024 10:15:00,NZ_H,Hydro,671.3
03/01/2024 10:15:00,NZ_T,Thermal,554.2
03/01/2024 10:15:00,NZ_W,Wind,193.9
03/01/2024 10:15:00,UNKN,Unknown,54.0
03/01/2024 13:00:00,NZ_G,Geothermal,72.1
03/01/2024 13:00:00,NZ_H,Hydro,671.3
03/01/2024 13:00:00,NZ_T,Thermal,554.2
03/01/2024 13:00:00,NZ_W,Wind,193.9
03/01/2024 13:00:00,UNKN,Unknown,54.0
03/01/2024 14:00:00,NZ_G,Geothermal,45.7
03/01/2024 14:00:00,NZ_H,Hydro,671.3
03/01/2024 14:00:00,NZ_T,Thermal,554.2
03/01/2024 14:00:00,NZ_W,Wind,193.9
03/01/2024 14:00:00,UNKN,Unknown,54.0
03/01/2024 16:00:00,NZ_G,Geothermal,45.7
03/01/2024 16:00:00,NZ_H,Hydro,666.3
03/01/2024 16:00:00,NZ_T,Thermal,554.2
03/01/2024 16:00:00,NZ_W,Wind,193.9
03/01/2024 16:00:00,UNKN,Unknown,54.0
04/01/2024 07:30:00,NZ_G,Geothermal,45.7
04/01/2024 07:30:00,NZ_H,Hydro,692.3
04/01/2024 07:30:00,NZ_T,Thermal,554.2
04/01/2024 07:30:00,NZ_W,Wind,193.9
04/01/2024 07:30:00,UNKN,Unknown,54.0
04/01/2024 09:00:00,NZ_G,Geothermal,45.7
04/01/2024 09:00:00,NZ_H,Hydro,697.3
04/01/2024 09:00:00,NZ_T,Thermal,554.2
04/01/2024 09:00:00,NZ_W,Wind,193.9
04/01/2024 09:00:00,UNKN,Unknown,54.0
04/01/2024 10:00:00,NZ_G,Geothermal,68.7
04/01/2024 10:00:00,NZ_H,Hydro,697.3
04/01/2024 10:00:00,NZ_T,Thermal,554.2
04/01/2024 10:00:00,NZ_W,Wind,193.9
04/01/2024 10:00:00,UNKN,Unknown,54.0
04/01/2024 10:30:00,NZ_G,Geothermal,45.7
04/01/2024 10:30:00,NZ_H,Hydro,697.3
04/01/2024 10:30:00,NZ_T,Thermal,554.2
04/01/2024 10:30:00,NZ_W,Wind,193.9
04/01/2024 10:30:00,UNKN,Unknown,54.0
04/01/2024 11:00:00,NZ_G,Geothermal,45.7
04/01/2024 11:00:00,NZ_H,Hydro,671.3
